laptop_id,Name,Price,Rating,Total_Reviews,Product_Link,Processor,RAM,Operating_System,Storage,Warranty
94,"Acer Aspire 15",55182,4.2,4148,https://www.flipkart.com/acer-aspire-15-amd-ryzen-5-hexa-core-7430u-8-gb-512-gb-ssd-windows-11-home-a325-42-thin-light-laptop/p/itmdaf15e01a1d1a?pid=COMH397XVTZNMYGX&lid=LSTCOMH397XVTZNMYGXQEL4JT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_106&otracker=search&fm=organic&iid=9a2c5c64-62a7-4d15-b2d2-00db59da1213.COMH397XVTZNMYGX.SEARCH&ppt=sp&ppn=sp&ssid=53t5ctxjr40000001784730939724&qH=312f91285e048e09&ov_redirect=true,"AMD Ryzen 5 Hexa Core Processor","8 GB DDR4 RAM","Windows 11","512 GB SSD","1 Year Carry-in Warranty"
95,"Acer Aspire 7 (i5 14th Gen)",74990,4.3,106,https://www.flipkart.com/acer-aspire-7-i5-14th-gen-intel-core-5-210h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-a715-79g-gaming-laptop/p/itm356d6c17565ef?pid=COMHGEUYN3UZFJRM&lid=LSTCOMHGEUYN3UZFJRM4GHADL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_120&otracker=search&fm=organic&iid=9a2c5c64-62a7-4d15-b2d2-00db59da1213.COMHGEUYN3UZFJRM.SEARCH&ppt=sp&ppn=sp&ssid=53t5ctxjr40000001784730939724&qH=312f91285e048e09&ov_redirect=true,"Intel Core 5 Processor","16 GB DDR4 RAM","64 bit Windows 11 Home","512 GB SSD","1 Year Warranty"
96,"Samsung Galaxy Book4 Metal",56990,4.4,19735,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-np750xgj-kg1in-np750xgj-lg1in-np750xgj-lg6in-thin-light-laptop/p/itm1df5212efb9fc?pid=COMGZUYDFZXHWYWZ&lid=LSTCOMGZUYDFZXHWYWZJ6V2KW&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_121&otracker=search&fm=organic&iid=en_1qIIdxl_62nbzkykufBv_4rOMbEfrCxKIHfFLHZ5bk50F2RnvUSC7lAU83EsxjBSsfGME0kkMQMICwGxasfmZSpiZoP3ZcDDMuaOuWFYumPgae-kpFEgIWrWoEcewlkZ&ppt=sp&ppn=sp&ssid=riyctednpc0000001784730945053&qH=312f91285e048e09&ov_redirect=true,"Intel Core i5 Processor (13th Gen)","8 GB LPDDR4X RAM","64 bit Windows 11","512 GB SSD","1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories"
97,"Samsung Galaxy Book4 Metal",57490,4.4,10670,https://www.flipkart.com/samsung-galaxy-book4-metal-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-np750xgj-lg9in-thin-light-laptop/p/itmc29d559898e6f?pid=COMH4Y6KKRC9YSWE&lid=LSTCOMH4Y6KKRC9YSWERDUMZD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_122&otracker=search&fm=organic&iid=en_1qIIdxl_62nbzkykufBv_4rOMbEfrCxKIHfFLHZ5bk67zW8Ca1u1dlLer2CzbP9cVqKfzRTPmTYCvEc1OQ2_kCChg9vAnpscSdI7uOc1ZHXgae-kpFEgIWrWoEcewlkZ&ppt=sp&ppn=sp&ssid=riyctednpc0000001784730945053&qH=312f91285e048e09&ov_redirect=true,"Intel Core i3 Processor (13th Gen)","8 GB LPDDR4X RAM","64 bit Windows 11","512 GB SSD","1 Year Onsite Warranty"
98,"DELL 15 (2025)",58990,4.3,1450,https://www.flipkart.com/dell-15-2025-microsoft-office-home-2024-intel-core-i5-13th-gen-16-gb-512-gb-ssd-windows-11-home-vostro-3530-rpl-thin-light-laptop/p/itm131ebb1b7cdce?pid=COMHBG6HU7GJGR8G&lid=LSTCOMHBG6HU7GJGR8GMYENLT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_123&otracker=search&fm=organic&iid=447b5a77-2df6-45e3-ba61-b890be726387.COMHBG6HU7GJGR8G.SEARCH&ppt=sp&ppn=sp&ssid=riyctednpc0000001784730945053&qH=312f91285e048e09&ov_redirect=true,"Intel Core i5 Processor (13th Gen)","16 GB DDR4 RAM","Windows 11","512 GB SSD","1 Year Onsite Hardware Service"
99,"Lenovo 100e Chromebook Gen 4",23990,3.9,1499,https://www.flipkart.com/lenovo-100e-chromebook-gen-4-mediatek-kompanio-528-4-gb-64-gb-emmc-storage-chrome-os/p/itm2ea2371d3bde4?pid=COMHA9FKZ7KSC3SZ&lid=LSTCOMHA9FKZ7KSC3SZTEADVB&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_124&otracker=search&fm=organic&iid=447b5a77-2df6-45e3-ba61-b890be726387.COMHA9FKZ7KSC3SZ.SEARCH&ppt=sp&ppn=sp&ssid=riyctednpc0000001784730945053&qH=312f91285e048e09&ov_redirect=true,"MediaTek MediaTek Kompanio 528 Processor","4 GB LPDDR4X RAM",ChromeOS,NULL,"1 Year Carry-in Warranty"
100,"Acer Predator Helios Neo 16S AI",171990,4.4,24,https://www.flipkart.com/acer-predator-helios-neo-16s-ai-intel-core-ultra-7-255hx-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5070-phn16s-71-gaming-laptop/p/itmc6d30f6de45a2?pid=COMHDT6GJMZG5PVP&lid=LSTCOMHDT6GJMZG5PVPTZ8JY9&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_125&otracker=search&fm=organic&iid=447b5a77-2df6-45e3-ba61-b890be726387.COMHDT6GJMZG5PVP.SEARCH&ppt=sp&ppn=sp&ssid=riyctednpc0000001784730945053&qH=312f91285e048e09&ov_redirect=true,"Intel Core Ultra 7 Processor","16 GB DDR5 RAM","64 bit Windows 11 Home","1 TB SSD","1 Year Warranty"
101,"DELL Alienware 16 Aurora (i7 14th Gen)",145990,3.9,19,https://www.flipkart.com/dell-alienware-16-aurora-i7-14th-gen-microsoft-office-home-2024-intel-core-7-240h-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5060-oan1625000901mino-gaming-laptop/p/itm5d0745cd0e132?pid=COMHDWZ6GNEBPEBF&lid=LSTCOMHDWZ6GNEBPEBFZQYJ1Y&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_126&otracker=search&fm=organic&iid=447b5a77-2df6-45e3-ba61-b890be726387.COMHDWZ6GNEBPEBF.SEARCH&ppt=sp&ppn=sp&ssid=riyctednpc0000001784730945053&qH=312f91285e048e09&ov_redirect=true,"Intel Core 7 Processor","16 GB DDR5 RAM","Windows 11","1 TB SSD","1 Year Onsite Warranty"
102,"HP Omnibook 3 2K WUXGA",72990,4.1,11,https://www.flipkart.com/hp-omnibook-3-2k-wuxga-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-14-hz0024qu-laptop/p/itmbd5346cd09abc?pid=COMHZGK2ACSECZB5&lid=LSTCOMHZGK2ACSECZB52ALLPO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_127&otracker=search&fm=organic&iid=en_1qIIdxl_62nbzkykufBv_4rOMbEfrCxKIHfFLHZ5bk7jGnWbsJXpf3MhtHlKdow_QDaMOpjaAqIhVlr2eDOqkK8WMJxc_eOD3pdFe_35DQXgae-kpFEgIWrWoEcewlkZ&ppt=sp&ppn=sp&ssid=riyctednpc0000001784730945053&qH=312f91285e048e09&ov_redirect=true,"Snapdragon X Processor","16 GB LPDDR5X RAM","Windows 11 Home","512 GB SSD","1 Year Onsite Service"
103,"DELL 15 (Previouly Inspiron)",57990,4.5,6,https://www.flipkart.com/dell-15-previouly-inspiron-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-dc15255-thin-light-laptop/p/itmb80bb4e819164?pid=COMHDXXUHGDCHMQX&lid=LSTCOMHDXXUHGDCHMQXUEUE9X&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_128&otracker=search&fm=organic&iid=en_1qIIdxl_62nbzkykufBv_4rOMbEfrCxKIHfFLHZ5bk7TboUhGymTlr-3E1zRxwSuKS7KjhXWMehRCKPAR7kLILb6bL0Zx_kaK68EeWHdQeDgae-kpFEgIWrWoEcewlkZ&ppt=sp&ppn=sp&ssid=riyctednpc0000001784730945053&qH=312f91285e048e09&ov_redirect=true,"AMD Ryzen 5 Quad Core Processor","8 GB LPDDR5 RAM","Windows 11","512 GB SSD","1 Year Onsite Warranty"
104,"Samsung Galaxy Book5 AI Metal",91990,4.6,463,https://www.flipkart.com/samsung-galaxy-book5-ai-metal-intel-core-ultra-7-255u-16-gb-512-gb-ssd-windows-11-home-np750xhd-thin-light-laptop/p/itma9c081cdbe95d?pid=COMHE4ATBCUTGUYT&lid=LSTCOMHE4ATBCUTGUYTJZ7NHN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_6_141&otracker=search&fm=organic&iid=en_1qIIdxl_62nbzkykufBv_4rOMbEfrCxKIHfFLHZ5bk5O8hMJ0FDe-urLlwItQcRJ_54vlUw9QAlUFlRYR6QtY8H5LP6GMXD1iSKF2pPmS-Tgae-kpFEgIWrWoEcewlkZ&ppt=sp&ppn=sp&ssid=riyctednpc0000001784730945053&qH=312f91285e048e09&ov_redirect=true,"Intel Core Ultra 7 Processor","16 GB LPDDR5X RAM","64 bit Windows 11","512 GB SSD","1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories"
